ID	Label	Exact Match	Synonyms	Suggested parent term	Abbreviation	Definition	Textual Definition	Definition Source	See Also	Editor	Reviewer1	Reviewer2	Type	Parent	Close Match	Exact Match	Narrow Match	Related Match
pbpko:PBPKO_00167	gut:plasma		k_gut_plasma	Partition coefficient	k_gut_plasma	Partition coefficient of gut to plasma	Partition coefficient of gut to plasma	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Class	Partition coefficient				
pbpko:PBPKO_00168	Stomach:Plasma		k_Stomach_plasma	Partition coefficient	k_Stomach_plasma	Partition coefficient of stomach to plasma	Partition coefficient of stomach to plasma			0000-0001-8345-1349	0000-0002-9795-5967		Class	Partition coefficient				
pbpko:PBPKO_00169	Intestine:Plasma		k_Intestine_plasma	Partition coefficient	k_Intestine_plasma	Partition coefficient of intestine to plasma	Partition coefficient of intestine to plasma			0000-0001-8345-1349	0000-0002-9795-5967		Class	Partition coefficient				
pbpko:PBPKO_00170	Pancreas:Plasma		k_Pancreas_plasma	Partition coefficient	k_Pancreas_plasma	Partition coefficient of pancreas to plasma	Partition coefficient of pancreas to plasma			0000-0001-8345-1349	0000-0002-9795-5967		Class	Partition coefficient				
pbpko:PBPKO_00171	Liver:Plasma		k_Liver_plasma	Partition coefficient	k_Liver_plasma	Partition coefficient of liver to plasma	Partition coefficient of liver to plasma			0000-0001-8345-1349	0000-0002-9795-5967		Class	Partition coefficient				
pbpko:PBPKO_00172	Kidney: Plasma		k_Kidney_plasma	Partition coefficient	k_Kidney_plasma	Partition coefficient of kidney to plasma	Partition coefficient of kidney to plasma			0000-0001-8345-1349	0000-0002-9795-5967		Class	Partition coefficient				
pbpko:PBPKO_00173	Muscle:Plasma		k_Muscle_plasma	Partition coefficient	k_Muscle_plasma	Partition coefficient of muscle to plasma	Partition coefficient of muscle to plasma			0000-0001-8345-1349	0000-0002-9795-5967		Class	Partition coefficient				
pbpko:PBPKO_00174	Heart:Plasma		k_Heart_plasma	Partition coefficient	k_Heart_plasma	Partition coefficient of heart to plasma	Partition coefficient of heart to plasma			0000-0001-8345-1349	0000-0002-9795-5967		Class	Partition coefficient				
pbpko:PBPKO_00175	Fat:Plasma		k_fat_plasma	Partition coefficient	k_fat_plasma	Partition coefficient of fat to plasma	Partition coefficient of fat to plasma			0000-0001-8345-1349	0000-0002-9795-5967		Class	Partition coefficient				
pbpko:PBPKO_00176	Gonads:Plasma		k_gonads_plasma	Partition coefficient	k_gonads_plasma	Partition coefficient of gonads to plasma	Partition coefficient of gonads to plasma			0000-0001-8345-1349	0000-0002-9795-5967		Class	Partition coefficient				
pbpko:PBPKO_00177	Skin:Plasma		k_skin_plasma	Partition coefficient	k_skin_plasma	Partition coefficient of skin to plasma	Partition coefficient of skin to plasma			0000-0001-8345-1349	0000-0002-9795-5967		Class	Partition coefficient				
pbpko:PBPKO_00178	Bone:Plasma		k_bone_plasma	Partition coefficient	k_bone_plasma	Partition coefficient of bone to plasma	Partition coefficient of bone to plasma			0000-0001-8345-1349	0000-0002-9795-5967		Class	Partition coefficient				
pbpko:PBPKO_00179	Spleen:Plasma		k_spleen_plasma	Partition coefficient	k_spleen_plasma	Partition coefficient of spleen to plasma	Partition coefficient of spleen to plasma			0000-0001-8345-1349	0000-0002-9795-5967		Class	Partition coefficient				
pbpko:PBPKO_00180	Lung:plasma		k_lung_plasma	Partition coefficient	k_lung_plasma	Partition coefficient of lung to plasma	Partition coefficient of lung to plasma			0000-0001-8345-1349	0000-0002-9795-5967		Class	Partition coefficient				
pbpko:PBPKO_00181	PCRich					Partition coefficient of Richly perfused tissues	Partition coefficient of Richly perfused tissues			0000-0001-8345-1349	0000-0002-9795-5967			Partition coefficient				
pbpko:PBPKO_00182	PCPoor					Partition coefficient of poorly perfused tissues	Partition coefficient of poorly perfused tissues			0000-0001-8345-1349	0000-0002-9795-5967			Partition coefficient				
pbpko:PBPKO_00183	PCSkin_sc					"Partition coefficient of Viable skin / strateum
corneum"	"Partition coefficient of Viable skin / strateum
corneum"			0000-0001-8345-1349	0000-0002-9795-5967			Partition coefficient				
pbpko:PBPKO_00184	PCAir					Partition coefficient of Air over Blood	Partition coefficient of Air over Blood			0000-0001-8345-1349	0000-0002-9795-5967			Partition coefficient				
pbpko:PBPKO_00185	Kp_sc_vs					Skin diffusion coefficient	Skin diffusion coefficient			0000-0001-8345-1349	0000-0002-9795-5967			Diffusion Coefficient				
pbpko:PBPKO_00186	Human serum albumin	http://purl.bioontology.org/ontology/LNC/LP62267-7|http://purl.bioontology.org/ontology/MESH/D000075462	Serum albumin		HSA	"Human serum albumin (HSA) is a protein made by the liver and is the most abundant protein in human blood plasma, representing about half of the total protein content"	corneum	Human serum albumin - Wikipedia		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00187	alpha acid glycoprotein	http://purl.bioontology.org/ontology/RCD/X80OW|http://purl.bioontology.org/ontology/MEDDRA/10087956|http://purl.bioontology.org/ontology/LNC/LP15755-9| http://purl.bioontology.org/ontology/SNOMEDCT/17003006	orosomucoid		AAG	"Alpha-1-acid glycoprotein (AAG), also known as orosomucoid, is a globulin with a molecular weight of about 44,000 Da."	"Orosomucoid, ,i.s  globulin with a molecular weight of 44,000 Da."	"Shargel, Leon, et al. Applied Biopharmaceutics & Pharmacokinetics. 7th ed., McGraw-Hill Education, 2015.Chapter-11, page number-275"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00188	Blood:Plasma ratio	http://www.bioassayontology.org/bao#BAO_0080043	Blood to plasma ratio	ratio endpoint	CB/CP	The ratio of the concentration of molecule in whole blood (i.e. contains both red blood cells and plasma) to the concentration of molecule in plasma	Ratio of concentration of molecule in whole blood (contains both red blood cells and plasma) to concentration of molecule in plasma	http://www.bioassayontology.org/bao#BAO_0080043		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00189	Metabolism	http://purl.bioontology.org/ontology/MESH/D008660	Bio transformation	PK	M	"The process of drug or chemical transformation within the body, typically involving enzymatic reactions leading to formation of active metabolite, inactivation of parent compound or formation of toxic by-products"	"The process of drug or chemical transformation within the body, typically involving enzymatic reactions leading to formation of active metabolite, inactivation of parent compound or formation of toxic by-products"	10.3390/ijerph20043473		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biological event				
pbpko:PBPKO_00190	catalytic rate constant	http://biomodels.net/SBO/SBO_0000025	"kcat
turnover number"	Xenoboitic metabolism	kcat	Numerical parameter that quantifies the velocity of an enzymatic reaction	"Numerical parameter that quantifies  an enzymatic reaction velocity.or
Maximum number of substrate molecules converted to products per active site per unit time."	"http://purl.obolibrary.org/obo/SBO_0000025
http://www.bioassayontology.org/bao#BAO_0000481"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00191	Ontogeny					The incorporation of age-related changes in physiology and anatomy into the modeling of drug pharmacokinetics	The incorporation of age-related changes in physiology and anatomy into the modeling of drug pharmacokinetics	10.1002/jcph.1489		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00192	Phase I		Phase I metabolism	Xenoboitic metabolism		"The phase I biotransformation pathway involves the conversion of exogenous substances to more polar metabolites. Members of the cytochrome P450 superfamily and to a lesser extent, flavin-containing monooxygenases mediate the reactions."	Phase I biotransformation involves  conversion of exogenous substances to more polar metabolites by cytochrome P450 superfamily.	http://purl.obolibrary.org/obo/PW_0000857		0000-0001-8345-1349	0000-0002-9795-5967		Class	Metabolism	http://purl.jp/bio/4/id/201306049015280881			
pbpko:PBPKO_00193	CYP enzymes			Xenoboitic metabolism		"The P450s are heme b-containing enzymes
that bind and reduce molecular oxygen, leading to
(usually) mono-oxygenation of substrate and production
of a molecule of water."	"The P450s are heme b-containing enzymes
that bind and reduce molecular oxygen, leading to
(usually) mono-oxygenation of substrate and production
of a molecule of water."	https://sci-hub.hkvisa.net/10.1016/s1472-9792(03)00051-9		0000-0001-8345-1349	0000-0002-9795-5967		Class	Enzymes				
pbpko:PBPKO_00194	CYP1A2	http://identifiers.org/ncbigene/1544	"P3-450
P450(PA)
CP12"	Xenoboitic metabolism	CYP1A2	"CYPIA2|P450 form 4|aryl hydrocarbon hydroxylase|cytochrome P(3)450|cytochrome P450 1A2|cytochrome P450 4|cytochrome P450, subfamily I (aromatic compound-inducible), polypeptide 2|cytochrome P450-P3|dioxin-inducible P3-450|flavoprotein-linkedmonooxygenase|microsomal monooxygenase|xenobiotic monooxygenase"	"CYPIA2|P450 form 4|aryl hydrocarbon hydroxylase|cytochrome P(3)450|cytochrome P450 1A2|cytochrome P450 4|cytochrome P450, subfamily I (aromatic compound-inducible), polypeptide 2|cytochrome P450-P3|dioxin-inducible P3-450|flavoprotein-linked monooxygenase|microsomal monooxygenase|xenobiotic monooxygenase"	http://www.ncbi.nlm.nih.gov/gene		0000-0001-8345-1349	0000-0002-9795-5967		Class	CYP enzymes				
pbpko:PBPKO_00195	CYP2E1	http://purl.bioontology.org/ontology/MESH/D019392	CYP 2E1	Xenoboitic metabolism	CYP 2E1	"An ethanol-inducible cytochrome P450 enzyme that metabolizes several precarcinogens, Xenoboitics, and solvents to reactive metabolites."	"An ethanol-inducible cytochrome P450 enzyme that metabolizes several precarcinogens, Xenoboitics, and solvents to reactive metabolites."	http://purl.bioontology.org/ontology/NDFRT/N0000170046		0000-0001-8345-1349	0000-0002-9795-5967		Class	CYP enzymes				
pbpko:PBPKO_00196	CYP3A4	http://id.nlm.nih.gov/mesh/D051544		Xenoboitic metabolism	CYP3A4	"Cytochrome P450, family 3, subfamily A; polypeptide 4. A heme-thiolate monooxygenase.
'CYP3A4' as the symbol for the gene that codes this protein."	"Cytochrome P450, family 3, subfamily A; polypeptide 4. A heme-thiolate monooxygenase."	"http://purl.org/net/Xenoboitic-interaction-knowledge-base/DIKB_evidence_ontology.owl#CYP3A4
  http://purl.obolibrary.org/obo/NCIT_C24328"		0000-0001-8345-1349	0000-0002-9795-5967		Class	CYP enzymes				
pbpko:PBPKO_00197	CYP2D6	http://purl.bioontology.org/ontology/MESH/D019389	"cyp2d6-a
cyp2d2"	Xenoboitic metabolism	CYP2D6	"Cytochrome P450, family 2, subfamily D, polypeptide 6. A heme-thiolate monooxygenase.  'CYP2D6' as the symbol for the gene that codes this protein."	"Cytochrome P450, family 2, subfamily D, polypeptide 6. A heme-thiolate monooxygenase."	"http://purl.org/net/Xenoboitic-interaction-knowledge-base/DIKB_evidence_ontology.owl#CYP2D6
http://purl.obolibrary.org/obo/OGG_3000001565
http://purl.obolibrary.org/obo/NCBIGene_446878"		0000-0001-8345-1349	0000-0002-9795-5967		Class	CYP enzymes				
pbpko:PBPKO_00198	CYP2C9	http://purl.bioontology.org/ontology/MESH/D065729	"CYPIIC9
CYP2C
CYP2C10
CPC9
P450IIC9"	Xenoboitic metabolism	CYP2C9	"Cytochrome P450, family 2, subfamily C, polypeptide 9.  located on the chromosome 10 mapped at 10q24. A heme-thiolate monooxygenase.  The HUGO Gene Nomenclature Committee (HGNC) database uses 'CYP2C9' as the symbol for the gene that codes this protein."	"Cytochrome P450, family 2, subfamily C, polypeptide 9.  A heme-thiolate monooxygenase."	"http://purl.org/net/Xenoboitic-interaction-knowledge-base/DIKB_evidence_ontology.owl#CYP2C9
http://purl.obolibrary.org/obo/NCBIGene_1559"		0000-0001-8345-1349	0000-0002-9795-5967		Class	CYP enzymes				
pbpko:PBPKO_00199	Cytochrome p450 CYP3A7	http://purl.bioontology.org/ontology/SNOMEDCT/425316004	"CP37
P-450111A7
P450-HFLA
P-450(HFL33)
CYPIIIA7"	Xenoboitic metabolism	CYP3A7	"The protein-coding gene CYP3A7 (cytochrome P450, family 3, subfamily A, polypeptide 7) located on the chromosome 7 mapped at 7q21-q22.1. or
Aryl hydrocarbon hydroxylase|cytochrome P450 3A7|cytochrome P450, subfamily IIIA, polypeptide 7|cytochrome P450-HFLA|flavoprotein-linked monooxygenase|microsomal monooxygenase|xenobiotic monooxygenase"	"Cytochrome P450, family 3, subfamily A, polypeptide 7) located on chromosome 7 mapped at 7q21-q22.1."	"http://identifiers.org/ncbigene/1551

http://purl.obolibrary.org/obo/OGG_3000001551"		0000-0001-8345-1349	0000-0002-9795-5967		Class	CYP enzymes				
pbpko:PBPKO_00200	CYP2C8	http://identifiers.org/ncbigene/1558	"CPC8
MP-12|MP-20
CYPIIC8"	Xenoboitic metabolism	CYP2C8	"The protein-coding gene CYP2C8 (cytochrome P450, family 2, subfamily C, polypeptide 8) located on the chromosome 10 mapped at 10q23.33. Or
Cytochrome P450 plays a role in oxidation of both endobiotics and xenobiotics metabolism."	"Cytochrome P450, family 2, subfamily C, polypeptide 8) located on chromosome 10 mapped at 10q23.33."	"http://identifiers.org/ncbigene/1558

http://purl.obolibrary.org/obo/NCIT_C46071"		0000-0001-8345-1349	0000-0002-9795-5967		Class	CYP enzymes				
pbpko:PBPKO_00201	Phase II	http://purl.obolibrary.org/obo/HINO_0016344	Phase II metabolism	Xenoboitic metabolism		The phase II biotransformation pathway involves the conjugation of phase I products to various hydrophilic moieties that renders them more suitable for excretion. Various enzyme superfamilies are involved in carrying out the specific conjugation of metabolites	"It involves conjugation of phase I products to various hydrophilic moieties that renders them more suitable for excretion.or
Phase II, subtype of  metabolic biotransformation reactions involving conjugate enabling efficient excretion."	http://purl.obolibrary.org/obo/PW_0000858		0000-0001-8345-1349	0000-0002-9795-5967		Class	Metabolism				
pbpko:PBPKO_00202	UGT1A1	http://identifiers.org/ncbigene/54658	"UDPGT
HUG-BR1
GNT1
UGT1A
BILIQTL1
UDPGT 1-1
UGT1"	Xenoboitic metabolism	UGT1A1	"The protein-coding gene UGT1A1 (UDP glucuronosyltransferase 1 family, polypeptide A1) located on the chromosome 2 mapped at 2q37."	"UGT1A1 (UDP glucuronosyltransferase 1 family, polypeptide A1) located on  chromosome 2 mapped at 2q37."	http://purl.obolibrary.org/obo/NCBIGene_54658		0000-0001-8345-1349	0000-0002-9795-5967		Class	UGT enzymes				
pbpko:PBPKO_00203	UGT1A4	http://identifiers.org/ncbigene/54657	"UDPGT
UGT1-04
UDPGT 1-4
UGT-1D
UGT1D
UGT1.4
HUG-BR2"	Xenoboitic metabolism	UGT1A4	"The protein-coding gene UGT1A4 (UDP glucuronosyltransferase 1 family, polypeptide A4) located on the chromosome 2 mapped at 2q37."	"UDP Glucuronosyltransferase 1 Family, Polypeptide A4 Gene involved in xenobiotic metabolism."	"http://identifiers.org/ncbigene/54657
http://purl.obolibrary.org/obo/OMIT_0042415"		0000-0001-8345-1349	0000-0002-9795-5967		Class	UGT enzymes				
pbpko:PBPKO_00204	UGT1A6	http://identifiers.org/ncbigene/113992|http://identifiers.org/ncbigene/54578	"UDPGT
GNT1
UGT1F
HLUGP1
UGT1
UGT1A6S
UDPGT 1-6
HLUGP"	Xenoboitic metabolism	UGT1A6	"The protein-coding gene UGT1A6 (UDP glucuronosyltransferase 1 family, polypeptide A6) located on the chromosome 2 mapped at 2q37."	"The protein-coding gene UGT1A6 (UDP glucuronosyltransferase 1 family, polypeptide A6) located on the chromosome 2 mapped at 2q37."	http://identifiers.org/ncbigene/113992		0000-0001-8345-1349	0000-0002-9795-5967		Class	UGT enzymes				
pbpko:PBPKO_00205	UGT1A9	http://identifiers.org/ncbigene/54600	"HLUGP4
UGT1-09
UGT1AI
UDPGT 1-9
UGT1.9
UDPGT
UGT1-9
LUGP4
UGT-1I
UGT1I"	Xenoboitic metabolism	UGT1A9	"The protein-coding gene UGT1A9 (UDP glucuronosyltransferase 1 family, polypeptide A9) located on the chromosome 2 mapped at 2q37."	"UGT1A9 (UDP glucuronosyltransferase 1 family, polypeptide A9)  is involved in phenol detoxification"	"http://identifiers.org/ncbigene/54600
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C105862"		0000-0001-8345-1349	0000-0002-9795-5967		Class	UGT enzymes				
pbpko:PBPKO_00206	UGT2B4	http://identifiers.org/ncbigene/7363	"HLUG25
UGT2B11
UDPGTH1
UDPGT2B4
UDPGTh-1"	Xenoboitic metabolism	UGT2B4	"The protein-coding gene UGT2B4 (UDP glucuronosyltransferase 2 family, polypeptide B4) located on the chromosome 4 mapped at 4q13."	"UGT2B4 (UDP glucuronosyltransferase 2 family, polypeptide B4) located on  chromosome 4 mapped at 4q13. or
UDP glucuronosyltransferase family 2 member B4."	"http://identifiers.org/ncbigene/7363
 

http://purl.obolibrary.org/obo/OMIT_0036009"		0000-0001-8345-1349	0000-0002-9795-5967		Class	UGT enzymes				
pbpko:PBPKO_00207	UGT2B7	http://identifiers.org/ncbigene/286989	"UDPGT 2B9
UGT2B9
UDPGTH2
UDPGT2B7"	Xenoboitic metabolism	UGT2B7	"The protein-coding gene UGT2B7 (UDP glucuronosyltransferase 2 family, polypeptide B7) located on the chromosome 4 mapped at 4q13."	"UDP glucuronosyltransferase 2 family, polypeptide B7"	"http://purl.obolibrary.org/obo/NCBIGene_7364
http://purl.obolibrary.org/obo/OGG_3000007364"		0000-0001-8345-1349	0000-0002-9795-5967		Class	UGT enzymes				
pbpko:PBPKO_00208	SULT	http://purl.bioontology.org/ontology/PDQ/CDR0000322900|http://purl.obolibrary.org/obo/HINO_0025295	"Sult-x1
Sultx1"	Xenoboitic metabolism	SULT	"The protein-coding gene Sult5a1 (sulfotransferase family 5A, member 1) located on the chromosome 8 mapped at 8 E1|8."	"Sult5a1 (sulfotransferase family 5A, member 1) located on the chromosome 8 mapped at 8 E1|8."	http://purl.obolibrary.org/obo/NCBIGene_57429		0000-0001-8345-1349	0000-0002-9795-5967		Class	Enzymes				
pbpko:PBPKO_00209	NAT 2	http://purl.bioontology.org/ontology/PDQ/CDR0000043375|	nhoA	Xenoboitic metabolism	NAT 2		Arylamine N-acetyltransferase Nat (arylamine acetylase)	http://www.ncbi.nlm.nih.gov/gene		0000-0001-8345-1349	0000-0002-9795-5967		Class	Enzymes				
pbpko:PBPKO_00210	Phase III					"Occurs post-phase II, where xenobiotics can undergo further metabolism and excretion. It classifies into the following superfamilies: ATP-binding cassette (ABC), Solute carrier (SLC) transporters"	"Occurs post-phase II, where xenobiotics can undergo further metabolism and excretion"	https://www.ncbi.nlm.nih.gov/books/NBK544353/		0000-0001-8345-1349	0000-0002-9795-5967		Class	Metabolism				
pbpko:PBPKO_00211	First pass metabolism		First pass effect	Metabolism		"First pass metabolism, also known as the first pass effect or presystemic metabolism, is a phenomenon in which a drug/chemical undergoes metabolism at a specific location in the body, resulting in a reduced concentration of the active drug/chemical before it reaches its site of action or systemic circulation. "	"First pass metabolism, also known as the first pass effect or presystemic metabolism, is a phenomenon in which a drug/chemical undergoes metabolism at a specific location in the body, resulting in a reduced concentration of the active drug/chemical before it reaches its site of action or systemic circulation. "	First Pass Effect - StatPearls - NCBI Bookshelf (nih.gov)		0000-0001-8345-1349	0000-0002-9795-5967		Class	Metabolism	http://purl.bioontology.org/ontology/LNC/LP213664-8|http://purl.bioontology.org/ontology/SNOMEDCT/258098006			
pbpko:PBPKO_00212	Vmax_intestine			Metabolism		"The maximum rate of metabolic reaction, when all the enzyme s active sites are saturated with substrate in intestine"	"Maximum rate of metabolic reaction, when all enzyme s active sites are saturated with substrate in intestine"	https://teachmephysiology.com/biochemistry/molecules-and-signalling/enzyme-kinetics/		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47822
pbpko:PBPKO_00213	Km_intestine		Michaelis constant_intestine	Metabolism		"The substrate concentration at which the reaction rate is 50% of the Vmax in intestine. Km is a measure of the affinity an enzyme has for its substrate, as the lower the value of Km, the more efficient the enzyme is at carrying out its function at a lower substrate concentration."	Substrate concentration at which reaction rate is 50% of Vmax in intestine	https://teachmephysiology.com/biochemistry/molecules-and-signalling/enzyme-kinetics/		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				http://biomodels.net/SBO/SBO_0000027|http://purl.jp/bio/4/id/200906034507257818|http://purl.obolibrary.org/obo/ECOSIMCONCEPT_MichaelisConstant
pbpko:PBPKO_00214	Vmax_liver			Metabolism		"The maximum rate of metabolic reaction, when all the enzyme s active sites are saturated with substrate in Liver"	"Maximum rate of metabolic reaction, when all enzyme s active sites are saturated with substrate in Liver"	https://teachmephysiology.com/biochemistry/molecules-and-signalling/enzyme-kinetics/		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00215	Km_liver		Michaelis constant_liver	Metabolism		The substrate concentration at which the reaction rate is 50% of the Vmax in liver	Substrate concentration at which reaction rate is 50% of Vmax in liver	https://teachmephysiology.com/biochemistry/molecules-and-signalling/enzyme-kinetics/		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00216	Gut Metabolism					The metabolism of a xenoboitic that occurs in the gut	The metabolism of a xenoboitic that occurs in gut			0000-0001-8345-1349	0000-0002-9795-5967		Class	Metabolism				http://purl.bioontology.org/ontology/MESH/D008660
pbpko:PBPKO_00217	kd					"KD in PBPK modeling refers to the dissociation constant of a drug/chemical-receptor complex, which is a measure of the affinity of the drug/chemical for its target receptor. It affects the distribution and elimination of the drug/chemical in the body. The dissociation constant (KD) is defined as the ratio of the rate constants for the forward and reverse reactions of the drug/chemical-receptor complex. "	"KD in PBPK modeling refers to the dissociation constant of a drug/chemical-receptor complex, which is a measure of the affinity of the drug/chemical for its target receptor. It affects the distribution and elimination of the drug/chemical in the body. The dissociation constant (KD) is defined as the ratio of the rate constants for the forward and reverse reactions of the drug/chemical-receptor complex. "	10.1186/s13550-021-00821-7		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				http://www.bioassayontology.org/bao#BAO_0000034
pbpko:PBPKO_00218	Transporters	http://sbmi.uth.tmc.edu/ontology/ochv#41637				"Xenobiotic transporters are responsible for the uptake of some chemicals into cells, and extremely important for the export of chemicals out of cells"	Responsible for import or export xenobiotics in or out of cell	https://pubmed.ncbi.nlm.nih.gov/11936902/		0000-0001-8345-1349	0000-0002-9795-5967		Class					
pbpko:PBPKO_00219	OATP	http://purl.jp/bio/4/id/200906030923265689|http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C107150	"Organic Anion Transporting Polypeptide
SLCO
Solute Carrier Organic Anion
Organic Anion Transporter Protein
OATP
Organic Anion-Transporting Polypeptide
Organic Anion Transporter
Organic Anion Transport Protein"	Protiens		A family of transmembrane proteins that play a role in the transport of organic anions including bile acids and bilirubin.	Family of transmembrane proteins that transport of organic anions including bile acids and bilirubin	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C107150		0000-0001-8345-1349	0000-0002-9795-5967		Class	Transporters				
pbpko:PBPKO_00220	Abcc3	http://identifiers.org/ncbigene/8714	"ATP-Binding Cassette, Sub-Family C (CFTR/MRP), Member 3 wt Allele
MLP2
EST90757
cMOAT2
MOAT-D
ABCC3 wt Allele
MRP3
ABC31"	Protiens	ABCC3	"Human ABCC3 wild-type allele is located in the vicinity of 17q22 and is approximately 57 kb in length. This allele, which encodes canalicular multispecific organic anion transporter 2 protein, plays a role in bile metabolism and transport"	"Human ABCC3 wild-type allele is located in vicinity of 17q22 and is approximately 57 kb in length, plays a role in bile metabolism and transport"	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C106022		0000-0001-8345-1349	0000-0002-9795-5967		Class	Transporters				
pbpko:PBPKO_00221	Abcc2	http://identifiers.org/ncbigene/1244	"DJS
CMOAT
ABC30
MRP2
cMRP"	Protiens	ABCC2	"The protein-coding gene ABCC2 (ATP-binding cassette, sub-family C (CFTR|MRP), member 2) located on the chromosome 10 mapped at 10q24"	Protein-coding gene ABCC2 located on chromosome 10 mapped at 10q24	http://identifiers.org/ncbigene/1244		0000-0001-8345-1349	0000-0002-9795-5967		Class	Transporters				
pbpko:PBPKO_00222	kdeg	http://www.owl-ontologies.com/2009/11/5/PKO.owl#Kdeg	degradation rate constant	Enzyme		Degradation rate constant of metabolizing enzyme	Degradation rate constant of metabolizing enzyme	Guideline on the reporting of physiologically based pharmacokinetic (PBPK) modelling and simulation (europa.eu)	Guideline on the reporting of physiologically based pharmacokinetic (PBPK) modelling and simulation (europa.eu)	0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00223	ki	http://www.bioassayontology.org/bao#BAO_0000192|http://purl.bioontology.org/ontology/LNC/LP89241-1	The inhibitory constant	equilibrium dissociation constant (Kd)	ki	inhibition constant for a specific enzyme or transporter	inhibition constant for a specific enzyme or transporter	Guideline on the reporting of physiologically based pharmacokinetic (PBPK) modelling and simulation (europa.eu)		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biochemical Parameters				
pbpko:PBPKO_00224	Excretion	http://purl.obolibrary.org/obo/GO_0007588			E	"Excretion in PBPK refers to the removal of a compound from the body through various routes such as urine, feces, exhalation etc."	"Removal of a compound from the body through various routes such as urine, feces, and exhalation"	10.3390/ijerph20043473		0000-0001-8345-1349	0000-0002-9795-5967		Class	Biological event				
pbpko:PBPKO_00225	Renal excretion	http://purl.jp/bio/4/id/201206097580900130|http://purl.obolibrary.org/obo/dinto_000260|http://purl.bioontology.org/ontology/NDFRT/N0000000042		Excretion		"The process by which xenoboitics and their metabolites are eliminated from the body, primarily through urine."	"Process by which xenoboitics and their metabolites are eliminated from body, primarily through urine."	"Shargel, Leon, et al. Applied Biopharmaceutics & Pharmacokinetics. 7th ed., McGraw-Hill Education, 2015. Chapter 7, Page Number-149"		0000-0001-8345-1349	0000-0002-9795-5967		Class	Excretion				
pbpko:PBPKO_00226	Hepatic Excretion	http://purl.jp/bio/4/id/201206066039451029	Hepatic clearance	Excretion		"The process by which xenoboitics and their metabolites are eliminated from the body, through liver metabolic processes."	Removing  xenoboitic fraction from liver.			0000-0001-8345-1349	0000-0002-9795-5967		Class	Excretion				
pbpko:PBPKO_00227	Fecal excretion	http://purl.jp/bio/4/id/200906052120961019|http://purl.bioontology.org/ontology/NDFRT/N0000000045	Intestinal clerance	Excretion		"The process by which xenoboitics and their metabolites are eliminated from the body, through feces"	Removing chemical and its metabolites through feces			0000-0001-8345-1349	0000-0002-9795-5967		Class	Excretion				
pbpko:PBPKO_00228	Exhalation	http://radlex.org/RID/RID50633	Lung clearance	Excretion		Exhalation defines as the removing chemical and its metabolites through respiration (Inhalation and exhalation process.	Removing chemical and its metabolites through respiration			0000-0001-8345-1349	0000-0002-9795-5967		Class	Excretion	http://purl.bioontology.org/ontology/MESH/D045853			
pbpko:PBPKO_00229	Sweat excretion	http://purl.bioontology.org/ontology/NDFRT/N0000000050	Sweat glands excretion	Excretion		Sweat excretion defined as the  removing chemical and its metabolites through sweat.	Removing chemical and its metabolites through sweat.			0000-0001-8345-1349	0000-0002-9795-5967		Class	Excretion				
pbpko:PBPKO_00230	Hair excretion	http://purl.bioontology.org/ontology/NDFRT/N0000000052		Excretion		Hair excretion defined as the  removing chemical and its metabolites through hair.	Removing chemical and its metabolites through hair.			0000-0001-8345-1349	0000-0002-9795-5967		Class	Excretion				
